eventId	personId	total	personName	"GROUP_CONCAT(CONCAT(score,' (',competitionId,')') SEPARATOR ' + ')"
444bf	2008AURO01	1	"Sébastien Auroux"	"1 (FrenchOpen2011)"
444bf	2009PETI01	1	"Loïc Petit"	"1 (MontpellierOpen2011)"
444bf	2009ROCH01	1	"Julien Rochette"	"1 (NeptuneOpen2011)"
444bf	2009SHEP01	1	"Daniel Sheppard"	"1 (FrenchOpen2011)"
444bf	2010CULL01	1	"Victor Cullot"	"1 (FrenchOpen2011)"
555	2004GALL02	89	"Clément Gallet"	"18 (GaleriesLafayetteOpen2011) + 9 (FrenchOpen2011) + 15 (LyonOpen2011) + 9 (DinsOpen2011) + 15 (CachanOpen2011) + 8 (BreizhOpen2011) + 15 (MontpellierOpen2011)"
555	2008HANK01	83	"Kanneti Sae Han (คันธ์เนตี แซ่ห่าน)"	"14 (FrenchOpen2011) + 11 (DinsOpen2011) + 13 (DolmenOpen2011) + 12 (BreizhOpen2011) + 21 (MontpellierOpen2011) + 12 (NeptuneOpen2011)"
555	2008VIRO01	80	"Philippe Virouleau"	"8 (NaonedOpen2011) + 12 (DolmenOpen2011) + 11 (NeptuneOpen2011) + 20 (LyonOpen2011) + 10 (BlindOpen2011) + 19 (MontpellierOpen2011)"
555	2010KADD01	73	"Abdelhak Kaddour"	"10 (VesoulOpen2011) + 22 (GaleriesLafayetteOpen2011) + 21 (LyonOpen2011) + 20 (CachanOpen2011)"
555	2008COUR01	65	"François Courtès"	"11 (CachanOpen2011) + 6 (LyonOpen2011) + 9 (NeptuneOpen2011) + 13 (GaleriesLafayetteOpen2011) + 7 (BreizhOpen2011) + 13 (MontpellierOpen2011) + 6 (VesoulOpen2011)"
555	2010OLIV01	58	"Auguste Olivry"	"10 (FrenchOpen2011) + 16 (LyonOpen2011) + 16 (CachanOpen2011) + 16 (MontpellierOpen2011)"
555	2009PETI01	55	"Loïc Petit"	"11 (LyonOpen2011) + 10 (NeptuneOpen2011) + 15 (GaleriesLafayetteOpen2011) + 8 (VesoulOpen2011) + 11 (MontpellierOpen2011)"
555	2010ESTU01	50	"Rémi Esturoune"	"14 (CachanOpen2011) + 13 (LyonOpen2011) + 6 (FrenchOpen2011) + 17 (GaleriesLafayetteOpen2011)"
555	2007DUSS01	47	"Gaël Dusser"	"14 (MontpellierOpen2011) + 6 (BreizhOpen2011) + 8 (FrenchOpen2011) + 5 (DolmenOpen2011) + 8 (DinsOpen2011) + 6 (BlindOpen2011)"
